genome,common_name,Phylum,Class,Order,pmsf_family,new_family,Old_family,old_genus,new_genus,taxon_source,other,skani_cluster,mcl_cluster
TARA_ARC_NCLDV_00110,NA,Nucleocytoviricota,Procul,Procul,Procul,Procul,Procul,NA,n_1,NA,,NA,NA
TARA_SOC_NCLDV_00024,NA,Nucleocytoviricota,Procul,Procul,Procul,Procul,Procul,NA,n_2,NA,,NA,NA
TARA_ARC_NCLDV_00131,NA,Nucleocytoviricota,Procul,Procul,Procul,Procul,Procul,NA,n_3,NA,,NA,NA
TARA_ARC_NCLDV_00135,NA,Nucleocytoviricota,Procul,Procul,Procul,Procul,Procul,NA,n_4,NA,,NA,NA
TARA_ARC_NCLDV_00085,NA,Nucleocytoviricota,Procul,Procul,Procul,Procul,Procul,NA,n_4,NA,,NA,NA
IMGM3300007520_BIN1027,NA,NA,incertae_sedis,incertae_sedis,incertae_sedis,incertae_sedis,NA,NA,n_6,NA,,NA,NA
GVMAG-S-3300009084-278,GVMAG-S-3300009084-278,Nucleocytoviricota,basal_pokkes,basal_incertae_sedis,basal_pokkes,basal_incertae_sedis,incertae_sedis,g41,g41,identical_markers,,NA,NA
IMGM3300006865_BIN470,NA,NA,basal_pokkes,basal_incertae_sedis,basal_pokkes,basal_incertae_sedis,incertae_sedis,g40,g40,MCL_clustered,,S1555,NA
GVMAG-M-3300014838-26,GVMAG-M-3300014838-26,Nucleocytoviricota,basal_pokkes,basal_incertae_sedis,basal_pokkes,basal_incertae_sedis,incertae_sedis,g39,g39,identical_markers,,NA,NA
IMGM3300024336_BIN278,NA,NA,incertae_sedis,incertae_sedis,,incertae_sedis,NA,NA,n_7,NA,,NA,NA
IMGM3300025107_BIN274,NA,NA,Pokkesviricetes,basal_chitovirales,basal_chitovirales,basal_chitovirales,basal_chito,NA,n_8,NA,,S2013,NA
IMGM3300002514_BIN445,NA,NA,Pokkesviricetes,basal_chitovirales,basal_chitovirales,basal_chitovirales,basal_chito,NA,n_9,NA,,S1699,NA
GVMAG-M-3300010151-7,GVMAG-M-3300010151-7,Nucleocytoviricota,Pokkesviricetes,basal_chitovirales,basal_chitovirales,basal_chitovirales,basal_chito,g12,g12,identical_markers,,S498,NA
IMGM3300014206_BIN5,NA,NA,Pokkesviricetes,basal_chitovirales,basal_chitovirales,basal_chitovirales,basal_chito,NA,n_10,NA,,NA,NA
IMGM3300015202_BIN140,NA,NA,Pokkesviricetes,basal_chitovirales,basal_chitovirales,basal_chitovirales,basal_chito,NA,n_11,NA,,NA,NA
IMGM3300034190_BIN56,NA,NA,Pokkesviricetes,basal_chitovirales,basal_chitovirales,basal_chitovirales,basal_chito,NA,n_12,NA,,NA,NA
GCA_000838565-1_ViralProj14042,Melanoplus sanguinipes entomopoxvirus 'O' Tucson,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g11,g11,identical_markers,,S1367,NA
GCA_001271235-1_ViralProj293081,Salmon gill poxvirus 2012-04-F277-L3G,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g8,g8,identical_markers,,NA,MCL573
GCA_000869065-1_ViralProj16798,Nile crocodilepox virus,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g7,g7,identical_markers,,S1378,MCL571
GCA_006452015-1_ASM645201v1,Eastern grey kangaroopox virus strain=NSW,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g6,g6,identical_markers,,NA,NA
Poah,NA,NA,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g6,g6,MCL_clustered,,S625,MCL252
GCA_000843325-1_ViralProj14328,Molluscum contagiosum virus subtype 1,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g5,g5,identical_markers,,S1370,NA
GCA_000930695-1_ViralProj271121,Parapoxvirus red deer/HL953 strain=HL953,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g3,g3,identical_markers,,S1387,MCL280
GCA_000913615-1_ViralProj223065,Squirrelpox virus strain=Red squirrel UK,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g4,g4,identical_markers,,S1382,NA
GCA_001695465-1_ViralProj331044,Pteropox virus strain=Australia,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g2,g2,identical_markers,,S1390,MCL434
GCA_009909525-1_ASM990952v1,Cetacean poxvirus 1 strain=CePV-TA,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g1,g1,identical_markers,,NA,NA
Poxx,NA,NA,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g1,g1,MCL_clustered,,S171,MCL155
GCA_006465565-1_ASM646556v1,Deerpox virus W-1170-84 W-1170-84,Nucleocytoviricota,Pokkesviricetes,Chitovirales,PX_01,PX_01,PX_01,g1,g1,identical_markers,,S863,MCL115
IMGM3300024515_BIN88,NA,NA,Pokkesviricetes,Asfuvirales,AF_incertae_sedis,AF_incertae_sedis,NA,NA,n_13,NA,,NA,NA
IMGM3300007628_BIN7,NA,NA,Pokkesviricetes,Asfuvirales,AF_incertae_sedis,AF_incertae_sedis,NA,NA,n_14,NA,,S1068,NA
